PRECIO,DELEGACION,T_HABITACION,MIN_NOCHES,N_COMENTARIOS,COMENTARIOSXMES,N_VECES_HOST_LISTADO,DISPONIBILIDAD,CLUSTER
1873,1,2,3,213,3.77,3,345,7
478,4,1,6,29,0.43,1,363,3
956,1,2,1,1,0.03,1,0,1
1147,1,1,1,3,0.04,8,365,3
401,1,1,2,73,1.16,3,345,3
382,1,1,2,130,1.94,3,329,7
1816,1,2,3,160,2.36,1,359,7
382,6,1,1,1,0.05,1,365,3
2198,11,1,1,35,0.55,5,306,0
2485,1,1,3,1,0.01,2,90,3
574,6,1,3,2,0.11,2,365,3
1109,1,2,2,52,0.77,1,291,5
1529,4,2,1,9,0.14,1,263,5
478,2,1,2,28,0.43,1,363,3
1778,1,2,2,255,3.79,7,292,7
1185,1,2,3,7,0.11,1,0,1
860,4,2,365,23,0.35,1,358,5
1854,1,2,4,51,0.76,1,359,5
574,3,2,3,85,1.27,1,235,5
2466,3,2,1,40,0.67,16,343,5
841,3,1,2,50,0.76,4,271,3
1071,1,2,7,26,0.55,2,112,1
535,1,1,3,31,0.46,20,365,2
1243,2,2,2,22,0.46,3,279,5
1319,2,2,2,12,0.35,3,224,5
1510,2,2,1,21,0.32,3,220,5
1147,1,2,14,38,0.57,1,269,5
669,2,2,3,58,0.87,3,352,5
2294,1,2,2,42,0.64,1,259,5
1606,1,2,3,168,2.92,3,134,7
421,8,2,1,468,8.0,5,350,7
210,2,1,1,5,0.44,2,359,3
382,2,1,2,5,0.08,1,365,3
478,14,2,15,80,1.2,2,90,0
1396,3,2,3,54,0.92,10,358,5
803,2,2,3,36,0.54,3,351,5
516,2,2,1,6,0.09,4,331,5
1338,4,2,2,151,2.3,2,78,7
478,4,1,1,19,0.29,1,365,3
1625,1,1,2,138,2.09,1,333,7
1051,1,2,5,36,0.56,3,83,1
554,3,2,2,84,1.28,1,331,5
535,2,1,1,1,0.02,3,365,3
459,2,1,1,3,0.05,3,365,3
2179,1,2,2,249,3.77,3,329,7
1147,4,2,4,38,0.77,2,355,5
497,4,1,2,55,0.91,1,275,3
1243,1,2,6,7,0.11,2,0,1
1032,1,2,3,1,0.06,2,0,1
1032,1,2,3,24,0.37,2,0,1
4034,1,1,1,1,0.08,2,365,3
1243,1,2,2,124,1.92,3,322,7
1816,1,2,2,203,3.41,4,304,7
1281,11,2,2,48,0.91,1,0,0
268,3,1,4,28,0.62,2,364,3
707,3,1,8,12,0.18,1,248,3
1223,1,1,1,93,1.44,16,349,3
1453,1,2,1,244,3.73,1,336,7
2256,1,2,2,5,0.08,5,365,5
669,3,1,1,198,3.03,4,334,7
574,1,1,1,49,0.77,6,365,3
1625,1,2,2,187,2.91,1,114,7
2007,1,2,2,4,0.07,5,365,5
746,1,1,1,102,2.17,3,362,7
497,4,2,2,40,0.85,2,356,5
1147,3,2,3,90,1.4,2,0,1
478,4,1,2,13,0.22,3,364,3
1625,1,2,3,74,4.48,1,227,7
1262,1,2,1,43,1.91,1,76,1
746,1,1,2,1,0.02,1,0,3
382,3,1,1,38,0.59,1,365,3
1243,1,2,3,10,0.16,17,239,2
2084,1,2,3,22,0.34,8,345,5
1071,1,2,4,40,0.63,3,182,1
1013,4,2,6,6,0.24,1,358,5
1338,3,2,3,33,0.51,1,327,5
1109,3,2,2,109,1.71,1,98,7
1090,1,2,2,127,1.97,2,333,7
1701,1,2,3,34,0.53,8,353,5
210,2,1,1,43,0.7,1,295,3
726,2,1,2,60,0.94,5,342,3
1701,1,1,2,59,1.14,3,314,3
2198,1,2,2,195,3.43,4,327,7
2007,1,2,2,150,2.59,3,332,7
1721,1,2,3,61,0.99,1,269,5
1243,2,2,3,25,0.47,1,355,5
249,4,1,5,3,0.05,1,0,3
497,2,2,2,35,0.56,4,294,5
382,1,1,3,92,1.59,3,62,3
1376,1,2,1,86,1.4,16,351,5
2294,1,1,1,60,1.0,1,83,3
2485,1,2,2,159,3.2,1,346,7
918,4,1,3,71,1.13,1,152,3
1625,11,2,2,3,0.53,1,359,0
1051,1,2,1,25,0.4,3,0,1
2256,1,2,3,3,0.06,5,365,5
841,3,1,2,15,0.32,1,89,3
1147,1,2,3,154,2.45,7,300,7
440,1,1,3,1,0.02,8,180,3
554,2,1,2,35,0.58,2,364,3
2485,1,2,2,80,1.8,1,167,1
535,3,1,5,6,0.1,1,297,3
803,3,1,1,1,0.06,2,365,3
268,3,1,4,9,0.25,2,348,3
287,4,1,30,1,0.03,7,0,3
765,1,2,2,64,1.14,1,40,1
268,4,1,5,11,0.34,7,67,3
287,4,2,3,16,0.51,1,331,5
2390,1,2,2,91,1.53,1,278,5
1051,3,2,2,53,0.88,4,0,1
306,2,1,5,31,0.5,1,159,3
1204,1,2,3,1,0.03,1,0,1
459,1,1,3,175,2.77,1,317,7
746,8,2,3,83,1.57,40,70,2
765,4,2,3,8,0.44,1,327,5
1300,3,2,2,67,1.25,11,66,1
344,1,1,1,164,4.42,2,341,7
2007,1,2,2,2,0.03,5,365,5
1338,3,2,3,14,0.23,1,326,5
726,2,1,2,24,0.4,5,0,3
726,2,1,2,51,0.84,5,320,3
401,3,1,2,203,5.32,1,313,7
669,4,1,10,4,0.07,1,221,3
1893,13,2,2,71,1.22,2,325,0
401,1,1,2,25,0.54,1,221,3
1147,1,2,2,3,0.78,24,207,2
956,1,1,1,33,0.53,24,331,2
1893,3,2,3,23,0.4,1,90,1
325,1,1,2,77,1.27,9,296,3
440,2,2,2,52,3.2,1,321,5
879,4,2,2,69,2.05,24,84,2
956,4,2,3,48,0.8,2,257,5
268,6,1,3,13,0.35,4,327,3
382,4,1,2,32,0.53,3,362,3
1147,3,2,2,54,0.87,25,356,2
1338,3,2,3,22,0.39,25,113,2
956,3,2,3,5,0.09,25,365,2
1721,3,2,3,17,0.27,25,365,2
1338,3,2,3,25,0.45,25,129,2
2275,3,2,2,45,0.72,25,301,2
382,4,1,2,24,0.41,3,81,3
1701,3,2,2,54,0.87,2,338,5
956,1,2,3,71,1.15,3,0,1
401,4,1,2,1,0.03,1,0,3
612,1,3,1,3,1.22,1,0,1
574,4,1,1,5,0.35,2,365,3
1721,1,2,2,80,1.32,1,309,5
669,1,1,1,6,0.11,5,364,3
210,1,1,5,37,0.61,1,174,3
1243,3,2,3,28,0.6,25,365,2
2466,3,2,2,116,1.95,1,339,7
1051,1,1,3,11,0.23,5,358,3
1721,1,2,2,97,1.59,3,247,5
1816,1,2,3,32,0.59,17,219,2
210,1,3,1,13,0.45,9,358,5
172,1,2,1,32,0.57,9,364,5
650,3,2,2,25,0.56,25,342,2
401,11,1,1,6,0.11,3,364,0
1797,1,2,30,4,0.07,1,0,1
1797,1,2,3,13,0.21,1,281,5
2294,1,2,2,137,3.94,1,311,7
726,1,2,3,33,0.73,3,92,1
860,1,2,2,25,0.53,1,0,1
918,1,1,3,3,0.08,5,266,3
1912,1,2,3,90,1.65,2,319,5
860,1,2,2,50,0.99,1,284,5
3632,1,2,3,26,0.44,8,345,5
1109,1,2,1,17,0.54,1,0,1
191,1,1,1,15,0.25,1,0,3
1051,1,2,6,16,0.27,1,0,1
1243,1,1,1,3,0.06,8,365,3
344,1,1,1,1,0.02,1,0,3
765,1,2,4,27,0.58,3,256,5
325,2,1,7,4,0.07,1,0,3
593,1,2,2,152,2.49,1,0,7
287,6,1,3,16,0.3,3,362,3
1032,1,2,2,10,0.36,1,0,1
784,4,2,2,19,0.82,1,0,1
401,4,1,1,1,0.06,2,178,3
707,3,2,2,40,0.82,1,348,5
1510,1,2,3,96,1.72,8,358,5
459,2,2,2,1,0.02,5,364,5
1912,6,2,1,1,0.11,2,364,5
1893,1,2,2,37,0.81,4,0,1
593,11,1,1,9,0.38,3,365,0
1721,1,2,7,10,0.18,2,174,1
956,1,2,2,137,2.3,28,28,2
554,1,2,4,116,1.95,5,42,7
459,1,2,2,8,0.57,1,299,5
363,1,2,1,161,6.18,2,308,7
746,3,2,7,26,0.49,1,313,5
1491,1,2,2,254,4.44,3,325,7
1147,1,2,2,33,2.61,4,326,5
593,3,1,1,22,0.4,4,365,3
325,4,1,1,107,1.81,1,114,3
2007,3,2,1,372,6.23,5,139,7
2657,1,2,3,34,0.64,17,188,2
707,6,1,3,14,0.37,1,365,3
478,1,1,1,22,0.37,1,362,3
1529,1,1,1,5,0.09,1,213,3
1682,3,2,2,185,3.22,1,180,7
1434,1,2,2,217,3.76,1,263,7
1204,1,2,1,3,0.06,2,365,5
497,2,1,1,1,0.03,1,364,3
554,2,1,1,89,1.52,2,327,3
2600,1,2,2,66,3.45,1,165,7
2103,1,2,3,11,0.29,1,18,1
898,1,2,4,23,0.39,1,178,1
937,3,1,1,80,1.36,2,365,3
669,3,1,1,107,1.93,4,233,7
612,4,2,5,64,1.1,4,52,1
1625,2,1,3,5,0.09,7,89,3
1300,1,2,2,33,0.56,2,176,1
1434,2,1,2,6,0.11,7,89,3
631,1,1,2,54,0.95,1,89,3
497,3,1,2,55,1.9,2,0,3
1243,4,1,1,29,0.5,1,364,3
937,1,1,1,138,2.36,1,90,7
2065,1,2,1,76,1.32,2,248,5
1701,1,2,2,104,2.44,1,339,7
478,2,2,4,20,0.35,2,347,5
325,1,1,3,62,1.06,1,0,3
2657,13,2,2,69,1.29,2,365,0
363,1,1,1,13,0.31,2,331,3
1090,1,2,1,164,6.16,2,230,7
574,1,2,3,193,3.3,4,191,7
306,1,1,1,36,0.62,1,13,3
497,4,2,5,23,0.41,3,114,1
707,4,2,15,85,2.47,1,0,1
1893,1,2,3,23,0.41,8,353,5
746,1,2,3,56,1.0,1,352,5
1721,1,2,1,263,4.49,2,263,7
879,1,2,2,41,0.71,1,239,5
210,3,1,1,5,1.06,1,81,3
210,1,3,2,55,1.12,1,256,5
1816,1,2,1,22,0.39,1,267,5
344,6,1,1,28,0.48,1,360,3
1319,1,2,1,33,0.69,2,363,5
287,2,2,1,49,0.95,1,227,5
650,6,1,3,9,0.26,2,173,3
325,2,1,3,1,0.02,2,365,3
746,2,1,1,21,0.36,1,364,3
3823,1,2,2,8,0.14,4,296,5
3059,3,2,2,82,1.43,10,356,5
650,1,1,1,5,0.09,1,365,3
2007,3,2,3,125,2.32,40,79,2
1625,1,2,3,17,0.3,17,208,2
746,1,2,2,107,1.92,2,284,7
440,11,1,1,9,0.18,3,365,0
803,3,1,3,20,0.35,1,319,3
497,1,1,1,63,1.17,1,349,3
574,1,2,3,90,1.56,1,310,5
554,1,2,2,35,0.64,1,341,5
249,11,1,2,54,1.4,3,357,0
440,2,1,2,89,2.06,2,263,3
688,1,2,3,108,1.88,5,50,7
478,6,2,180,1,0.02,1,358,5
2103,3,2,3,38,0.66,25,361,2
1243,1,2,2,2,2.0,1,347,5
535,3,1,2,116,2.08,1,359,7
229,1,1,1,63,1.1,9,364,3
1243,1,1,1,195,3.42,16,343,7
497,1,1,1,8,0.57,2,21,3
2963,3,2,1,13,0.29,5,180,1
746,3,1,1,2,0.04,3,327,3
1147,3,2,2,33,0.7,25,117,2
1338,3,2,1,26,0.46,3,327,5
2676,1,2,2,6,0.13,9,361,5
459,3,2,3,3,0.05,1,0,1
401,11,1,1,4,0.14,3,365,0
1204,1,2,2,318,5.57,3,266,7
1778,3,1,1,3,0.07,1,365,3
574,1,1,3,32,0.57,20,365,2
956,1,2,3,16,0.36,20,0,1
535,1,1,3,25,0.44,20,365,2
574,1,1,1,311,5.47,1,321,7
